"Id","ID.pojazdu","Typ","Marka","Usterki","Cechy.szczególne"
97563743,1,"Samochód osobowy",NA,NA,NA
97563743,2,"Rower",NA,NA,NA
97564391,1,"Rower",NA,NA,NA
97564391,2,"Samochód osobowy",NA,NA,NA
97567700,1,"Samochód osobowy",NA,NA,NA
97567700,2,"Rower",NA,NA,NA
97583686,1,"Rower",NA,NA,NA
97583686,2,"Samochód osobowy",NA,NA,NA
97595429,1,"Samochód osobowy",NA,NA,NA
97595429,2,"Rower",NA,NA,NA
97595453,1,"Pojazd nieustalony",NA,NA,NA
97595453,2,"Rower",NA,NA,NA
97613371,1,"Samochód osobowy",NA,NA,NA
97613371,2,"Rower",NA,NA,NA
97624136,1,"Samochód osobowy",NA,NA,NA
97624136,2,"Rower",NA,NA,NA
97683711,1,"Rower",NA,NA,NA
97683711,2,"Samochód osobowy",NA,NA,NA
97686371,1,"Rower",NA,NA,NA
97686371,2,"Samochód osobowy",NA,NA,NA
97688103,1,"Samochód osobowy",NA,NA,NA
97688103,2,"Rower",NA,NA,NA
97691899,1,"Samochód osobowy",NA,NA,NA
97691899,2,"Rower",NA,NA,NA
97692085,1,"Autobus komunikacji publicznej",NA,NA,NA
97692085,2,"Rower",NA,NA,NA
97692551,1,"Samochód osobowy",NA,NA,NA
97692551,2,"Rower",NA,NA,NA
97694284,1,"Samochód osobowy",NA,NA,NA
97694284,2,"Rower",NA,NA,NA
97694865,1,"Samochód osobowy",NA,NA,NA
97694865,2,"Rower",NA,NA,NA
97696887,1,"Rower",NA,NA,NA
97696887,2,"Samochód osobowy",NA,NA,NA
97698793,1,"Samochód osobowy",NA,NA,NA
97698793,2,"Rower",NA,NA,NA
97705838,1,"Samochód osobowy",NA,NA,NA
97705838,2,"Rower",NA,NA,NA
97706386,1,"Samochód osobowy",NA,NA,NA
97706386,2,"Rower",NA,NA,NA
97714936,1,"Samochód osobowy",NA,NA,NA
97714936,2,"Rower",NA,NA,NA
97715216,1,"Samochód osobowy",NA,NA,NA
97715216,2,"Rower",NA,NA,NA
97723790,1,"Samochód osobowy",NA,NA,NA
97723790,2,"Rower",NA,NA,NA
97724623,1,"Samochód osobowy",NA,NA,NA
97724623,2,"Rower",NA,NA,NA
97725226,1,"Samochód osobowy",NA,NA,NA
97725226,2,"Rower",NA,NA,NA
97727338,1,"Rower",NA,NA,NA
97727338,2,"Samochód osobowy",NA,NA,NA
97729219,1,"Samochód osobowy",NA,NA,NA
97729219,2,"Rower",NA,NA,NA
97730553,1,"Samochód osobowy",NA,NA,NA
97730553,2,"Rower",NA,NA,NA
97731733,1,"Rower",NA,NA,NA
97731733,2,"Samochód osobowy",NA,NA,NA
97735509,1,"Rower",NA,NA,NA
97735509,2,"Motocykl inny",NA,NA,NA
97736391,1,"Samochód osobowy",NA,NA,NA
97736391,2,"Rower",NA,NA,NA
97737374,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
97737374,2,"Rower",NA,NA,NA
97738873,1,"Samochód osobowy",NA,NA,NA
97738873,2,"Rower",NA,NA,NA
97739226,1,"Samochód osobowy",NA,NA,NA
97739226,2,"Rower",NA,NA,NA
97739320,1,"Rower",NA,NA,NA
97739320,2,"Samochód osobowy",NA,NA,NA
97739341,1,"Rower",NA,NA,NA
97739341,2,"Samochód osobowy",NA,NA,NA
97743294,1,"Rower",NA,NA,NA
97743294,2,"Samochód osobowy",NA,NA,NA
97744096,1,"Samochód osobowy",NA,NA,NA
97744096,2,"Rower",NA,NA,NA
97744576,1,"Rower",NA,NA,NA
97744576,2,"Samochód osobowy",NA,NA,NA
97744691,1,"Rower",NA,NA,NA
97745474,1,"Pojazd nieustalony",NA,NA,NA
97745474,2,"Rower",NA,NA,NA
97746144,1,"Rower",NA,NA,NA
97746144,2,"Samochód osobowy",NA,NA,NA
97748035,1,"Motorower",NA,NA,NA
97748035,2,"Rower",NA,NA,NA
97748362,1,"Samochód osobowy",NA,NA,NA
97748362,2,"Rower",NA,NA,NA
97749542,1,"Rower",NA,NA,NA
97749542,2,"Samochód osobowy",NA,NA,NA
97749759,1,"Samochód osobowy",NA,NA,NA
97749759,2,"Rower",NA,NA,NA
97749914,1,"Rower",NA,NA,NA
97749914,2,"Samochód osobowy",NA,NA,NA
97750302,1,"Samochód osobowy",NA,NA,NA
97750302,2,"Rower",NA,NA,NA
97752015,1,"Samochód osobowy",NA,NA,NA
97752015,2,"Rower",NA,NA,NA
97752724,1,"Rower",NA,NA,NA
97752724,2,"Samochód osobowy",NA,NA,NA
97752883,1,"Rower",NA,NA,NA
97752883,2,"Samochód osobowy",NA,NA,NA
97754589,1,"Rower",NA,NA,NA
97754589,2,"Samochód osobowy",NA,NA,NA
97755487,1,"Samochód osobowy",NA,NA,NA
97755487,2,"Rower",NA,NA,NA
97755626,1,"Samochód osobowy",NA,NA,NA
