"Id","Rodzaj zdarzenia","Województwo","Powiat","Gmina","Adres","Współrzędne geograficzne","Data","Godzina","Warunki oświetleniowe","Warunki pogodowe","Charakterystyka miejsca zdarzenia","Typ drogi","Ograniczenie prędkości","Typ nawierzchni","Stan nawierzchni","Geometria drogi","Sygnalizacja świetlna","Oznakowanie poziome","Rodzaj skrzyżowania","Teren zabudowany","Inne przyczyny zdarzenia"
116760175,"Wywrócenie się pojazdu","POMORSKIE","POWIAT CHOJNICKI","CHOJNICE - OBSZAR MIEJSKI","CHOJNICE ŚWIĘTOPEŁKA 1 / GDAŃSKA","17*34'105, 53*41'421","2022-01-02","15","Światło dzienne","Opady deszczu","Przejazd dla rowerzystów","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Brak","Jest, działa","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
116763101,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSKI","KOLBUDY - OBSZAR WIEJSKI","LUBLEWO GDAŃSKIE WYBICKIEGO 39A","18*29'514, 54*17'016","2022-01-03","16","Noc - droga oświetlona","Opady deszczu","Droga, pas ruchu, śluza dla rowerów","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
116969426,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK OPOLSKA","18*35'506, 54*24'161","2022-01-06","14","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
116994105,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT KWIDZYŃSKI","KWIDZYN - OBSZAR MIEJSKI","KWIDZYN GRUDZIĄDZKA 34 / KOŚCIUSZKI","18*55'418, 53*43'380","2022-01-06","17","Noc - droga oświetlona","Dobre warunki atmosferyczne","Przejazd dla rowerzystów","Jednokierunkowa","50 km/h","Twarda","Sucha","Brak","Brak","Jest","O ruchu okrężnym","Obszar zabudowany","Brak"
117049889,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT TCZEWSKI","TCZEW - OBSZAR MIEJSKI","TCZEW ARMII KRAJOWEJ 20","18.768177, 54.101063","2022-01-06","12","Światło dzienne","Opady śniegu, gradu","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
117081141,"Wywrócenie się pojazdu","POMORSKIE","POWIAT SZTUMSKI","DZIERZGOŃ - OBSZAR MIEJSKI","DZIERZGOŃ LIMANOWSKIEGO 12","19*20'294, 53*55'241","2022-01-08","09","Światło dzienne","Opady śniegu, gradu","Jezdnia","Jednojezdniowa dwukierunkowa","20 km/h","Twarda","Oblodzona, zaśnieżona","Odcinek prosty","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
117154818,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT WEJHEROWSKI","RUMIA - OBSZAR MIEJSKI","RUMIA DĘBOGÓRSKA 12","18*24'133, 54*34'379","2022-01-10","09","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednokierunkowa","50 km/h","Twarda","Mokra","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
117376980,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK OBWODOWA / JABŁONIOWA","18*32'376, 54*19'222","2022-01-12","05","Noc - droga nieoświetlona","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Brak","Brak","Nie ma","Z drogą z pierwsz.","Obszar zabudowany","Brak"
118712985,"Inne","POMORSKIE","POWIAT WEJHEROWSKI","GNIEWINO - OBSZAR WIEJSKI","KOSTKOWO KSIĘDZA GALASA 1","18*01'483, 54*39'529","2022-01-17","12","Światło dzienne","Pochmurno","Jezdnia","Jednojezdniowa dwukierunkowa","90 km/h","Twarda","Mokra","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
120302073,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSKI","PRUSZCZ GDAŃSKI - OBSZAR WIEJSKI","BORKOWO AKACJOWA 2","18*35'478, 54*17'546","2022-01-26","06","Noc - droga oświetlona","Opady deszczu","Jezdnia","Jednojezdniowa dwukierunkowa","30 km/h","Twarda","Mokra","Spadek","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
