"Id","ID.pojazdu","Typ","Marka","Usterki","Cechy.szczególne"
90787144,1,"Rower",NA,NA,NA
90787144,2,"Samochód osobowy",NA,NA,NA
90801707,1,"Rower",NA,NA,NA
90801707,2,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
90816359,1,"Rower",NA,NA,NA
90825260,1,"Samochód osobowy",NA,NA,NA
90825260,2,"Rower",NA,NA,NA
90876917,1,"Rower",NA,NA,NA
90876917,2,"Samochód osobowy",NA,NA,NA
90924906,1,"Rower",NA,NA,NA
90924906,2,"Samochód osobowy",NA,NA,NA
90992853,1,"Rower",NA,NA,NA
90992853,2,"Samochód osobowy",NA,NA,NA
91055346,1,"Rower",NA,NA,NA
91055346,2,"Samochód osobowy",NA,NA,NA
91134171,1,"Samochód osobowy",NA,NA,NA
91134171,2,"Rower",NA,NA,NA
91150558,1,"Rower",NA,NA,NA
91150804,1,"Rower",NA,NA,NA
91209159,1,"Samochód osobowy",NA,NA,NA
91209159,2,"Rower",NA,NA,NA
91280659,1,"Rower",NA,NA,NA
91280659,2,"Samochód osobowy",NA,NA,NA
91323971,1,"Samochód osobowy",NA,NA,NA
91323971,2,"Rower",NA,NA,NA
91324886,1,"Rower",NA,NA,NA
91324886,2,"Samochód osobowy",NA,NA,NA
91340876,1,"Rower",NA,NA,NA
91340876,2,"Samochód osobowy",NA,NA,NA
91344458,1,"Samochód osobowy",NA,NA,NA
91344458,2,"Rower",NA,NA,NA
91346175,1,"Rower",NA,NA,NA
91346175,2,"Samochód osobowy",NA,NA,NA
91348940,1,"Rower",NA,NA,NA
91348940,2,"Samochód osobowy",NA,NA,NA
91349086,1,"Rower",NA,NA,NA
91349086,2,"Samochód osobowy",NA,NA,NA
91350216,1,"Rower",NA,NA,NA
91350216,2,"Samochód osobowy",NA,NA,NA
91350960,1,"Samochód osobowy",NA,NA,NA
91350960,2,"Rower",NA,NA,NA
91351337,1,"Samochód osobowy",NA,NA,NA
91351337,2,"Rower",NA,NA,NA
91356063,1,"Rower",NA,NA,NA
91356063,2,"Samochód osobowy",NA,NA,NA
91357197,1,"Rower",NA,NA,NA
91357197,2,"Samochód osobowy",NA,NA,NA
