"Id","ID.pojazdu","Typ","Marka","Usterki","Cechy.szczególne"
98708786,1,"Rower",NA,NA,NA
98719214,1,"Samochód osobowy",NA,NA,NA
98719214,2,"Rower",NA,NA,NA
98724264,1,"Samochód osobowy",NA,NA,NA
98724264,2,"Rower",NA,NA,NA
98725290,1,"Rower",NA,NA,NA
98725290,2,"Samochód osobowy",NA,NA,NA
98725997,1,"Samochód osobowy",NA,NA,NA
98725997,2,"Rower",NA,NA,NA
98728378,1,"Samochód osobowy",NA,NA,NA
98728378,2,"Rower",NA,NA,NA
98729790,1,"Rower",NA,NA,NA
98729790,2,"Pojazd nieustalony",NA,NA,NA
98732280,1,"Samochód osobowy",NA,NA,NA
98732280,2,"Rower",NA,NA,NA
98732704,1,"Rower",NA,NA,NA
98733101,1,"Rower",NA,NA,NA
98734303,1,"Rower",NA,NA,NA
98734303,2,"Samochód osobowy",NA,NA,NA
98739360,1,"Samochód osobowy",NA,NA,NA
98739360,2,"Rower",NA,NA,NA
98740397,1,"Samochód osobowy",NA,NA,NA
98740397,2,"Rower",NA,NA,NA
98744100,1,"Rower",NA,NA,NA
98744100,2,"Samochód osobowy",NA,NA,NA
98748835,1,"Samochód osobowy",NA,NA,NA
98748835,2,"Rower",NA,NA,NA
98751242,1,"Samochód osobowy",NA,NA,NA
98751242,2,"Rower",NA,NA,NA
98751246,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
98751246,2,"Rower",NA,NA,NA
98752376,1,"Samochód osobowy",NA,NA,NA
98752376,2,"Rower",NA,NA,NA
98754183,1,"Samochód osobowy",NA,NA,NA
98754183,2,"Rower",NA,NA,NA
98758747,1,"Rower",NA,NA,NA
98758747,2,"Samochód osobowy",NA,NA,NA
98761715,1,"Samochód osobowy",NA,NA,NA
98761715,2,"Rower",NA,NA,NA
98763163,1,"Samochód osobowy",NA,NA,NA
98763163,2,"Rower",NA,NA,NA
98763212,1,"Samochód osobowy",NA,NA,NA
98763212,2,"Rower",NA,NA,NA
98765207,1,"Samochód osobowy",NA,NA,NA
98765207,2,"Rower",NA,NA,NA
98766621,1,"Rower",NA,NA,NA
98766621,2,"Samochód osobowy",NA,NA,NA
98769039,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
98769039,2,"Rower",NA,NA,NA
98769135,1,"Rower",NA,NA,NA
98769135,2,"Samochód osobowy",NA,NA,NA
98770889,1,"Samochód osobowy",NA,NA,NA
98770889,2,"Rower",NA,NA,NA
98775045,1,"Rower",NA,NA,NA
98776925,1,"Rower",NA,NA,NA
98776925,2,"Samochód osobowy",NA,NA,NA
98777847,1,"Rower",NA,NA,NA
98777847,2,"Samochód osobowy",NA,NA,NA
98778079,1,"Samochód osobowy",NA,NA,NA
98778079,2,"Rower",NA,NA,NA
98778529,1,"Rower",NA,NA,NA
98780037,1,"Rower",NA,NA,NA
98780037,2,"Rower",NA,NA,NA
98781150,1,"Rower",NA,NA,NA
98781150,2,"Samochód osobowy",NA,NA,NA
98785998,1,"Samochód osobowy",NA,NA,NA
98785998,2,"Rower",NA,NA,NA
98786750,1,"Rower",NA,NA,NA
98788481,1,"Rower",NA,NA,NA
98788481,2,"Rower",NA,NA,NA
98788982,1,"Samochód osobowy",NA,NA,NA
98788982,2,"Rower",NA,NA,NA
98789034,1,"Samochód osobowy",NA,NA,NA
98789034,2,"Rower",NA,NA,NA
98789142,1,"Samochód osobowy",NA,NA,NA
98789142,2,"Rower",NA,NA,NA
98789156,1,"Rower",NA,NA,NA
98789156,2,"Samochód osobowy",NA,NA,NA
98789656,1,"Samochód osobowy",NA,NA,NA
98789656,2,"Rower",NA,NA,NA
98790717,1,"Rower",NA,NA,NA
98790717,2,"Samochód osobowy",NA,NA,NA
98793940,1,"Samochód osobowy",NA,NA,NA
98793940,2,"Rower",NA,NA,NA
98794346,1,"Samochód osobowy",NA,NA,NA
98794346,2,"Rower",NA,NA,NA
98794452,1,"Samochód osobowy",NA,NA,NA
98794452,2,"Rower",NA,NA,NA
98796695,1,"Samochód osobowy",NA,NA,NA
98796695,2,"Rower",NA,NA,NA
98799026,1,"Samochód osobowy",NA,NA,NA
98799026,2,"Rower",NA,NA,NA
98801024,1,"Rower",NA,NA,NA
98801024,2,"Samochód osobowy",NA,NA,NA
98801583,1,"Samochód osobowy",NA,NA,NA
98801583,2,"Rower",NA,NA,NA
98801854,1,"Rower",NA,NA,NA
98802178,1,"Rower",NA,NA,NA
98802178,2,"Samochód osobowy",NA,NA,NA
98802194,1,"Samochód osobowy",NA,NA,NA
98802194,2,"Rower",NA,NA,NA
98802228,1,"Rower",NA,NA,NA
98802228,2,"Samochód osobowy",NA,NA,NA
98803905,1,"Samochód osobowy",NA,NA,NA
98803905,2,"Rower",NA,NA,NA
98805434,1,"Samochód osobowy",NA,NA,NA
98805434,2,"Rower",NA,NA,NA
98805705,1,"Rower",NA,NA,NA
98805717,1,"Samochód osobowy",NA,NA,NA
98805717,2,"Rower",NA,NA,NA
98806213,1,"Rower",NA,NA,NA
98806213,2,"Motocykl inny",NA,NA,NA
98810204,1,"Samochód osobowy",NA,NA,NA
98810204,2,"Rower",NA,NA,NA
98813203,1,"Rower",NA,NA,NA
98813203,2,"Samochód osobowy",NA,NA,NA
98814462,1,"Samochód osobowy",NA,NA,NA
98814462,2,"Rower",NA,NA,NA
98817070,1,"Samochód osobowy",NA,NA,NA
98817070,2,"Rower",NA,NA,NA
98821954,1,"Samochód osobowy",NA,NA,NA
98821954,2,"Rower",NA,NA,NA
98824990,1,"Samochód osobowy",NA,NA,NA
98824990,2,"Rower",NA,NA,NA
98824990,3,"Rower",NA,NA,NA
98825388,1,"Rower",NA,NA,NA
98825388,2,"Samochód osobowy",NA,NA,NA
98826238,1,"Rower",NA,NA,NA
98826238,2,"Samochód osobowy",NA,NA,NA
98827303,1,"Samochód osobowy",NA,NA,NA
98827303,2,"Rower",NA,NA,NA
98829828,1,"Samochód osobowy",NA,NA,NA
98829828,2,"Rower",NA,NA,NA
98830120,1,"Samochód osobowy",NA,NA,NA
98830120,2,"Rower",NA,NA,NA
98830577,1,"Samochód osobowy",NA,NA,NA
98830577,2,"Rower",NA,NA,NA
98830737,1,"Rower",NA,NA,NA
98831140,1,"Samochód osobowy",NA,NA,NA
98831140,2,"Rower",NA,NA,NA
98831302,1,"Samochód osobowy",NA,NA,NA
98831302,2,"Rower",NA,NA,NA
98831355,1,"Samochód osobowy",NA,NA,NA
98831355,2,"Rower",NA,NA,NA
98832255,1,"Rower",NA,NA,NA
98832255,2,"Samochód osobowy",NA,NA,NA
98835965,1,"Samochód osobowy",NA,NA,NA
98835965,2,"Rower",NA,NA,NA
98840877,1,"Samochód osobowy",NA,NA,NA
98840877,2,"Rower",NA,NA,NA
98840970,1,"Samochód osobowy",NA,NA,NA
98840970,2,"Rower",NA,NA,NA
98841263,1,"Samochód osobowy",NA,NA,NA
98841263,2,"Rower",NA,NA,NA
98841320,1,"Rower",NA,NA,NA
98842980,1,"Rower",NA,NA,NA
98842980,2,"Samochód osobowy",NA,NA,NA
98843104,1,"Rower",NA,NA,NA
98843466,1,"Samochód osobowy",NA,NA,NA
