"Id","ID.pojazdu","Typ","Marka","Usterki","Cechy.szczególne"
95874101,1,"Rower",NA,NA,NA
95874101,2,"Samochód osobowy",NA,NA,NA
95874825,1,"Rower",NA,NA,NA
95874825,2,"Samochód osobowy",NA,NA,NA
95879987,1,"Rower",NA,NA,NA
95879987,2,"Samochód osobowy",NA,NA,NA
95884076,1,"Rower",NA,NA,NA
95884076,2,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
95887946,1,"Rower",NA,NA,NA
95887946,2,"Samochód osobowy",NA,NA,NA
95887946,3,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
95899945,1,"Rower",NA,NA,NA
95899945,2,"Samochód osobowy",NA,NA,NA
95923943,1,"Rower",NA,NA,NA
95923943,2,"Samochód osobowy",NA,NA,NA
95930066,1,"Rower",NA,NA,NA
95930066,2,"Samochód osobowy",NA,NA,NA
95931966,1,"Samochód osobowy",NA,NA,NA
95931966,2,"Rower",NA,NA,NA
95933153,1,"Rower",NA,NA,NA
95933153,2,"Samochód osobowy",NA,NA,NA
95938014,1,"Rower",NA,NA,NA
95938014,2,"Samochód osobowy",NA,NA,NA
95943071,1,"Samochód osobowy",NA,NA,NA
95943071,2,"Rower",NA,NA,NA
95993992,1,"Samochód osobowy",NA,NA,NA
95993992,2,"Rower",NA,NA,NA
96047153,1,"Samochód osobowy",NA,NA,NA
96047153,2,"Samochód osobowy",NA,NA,NA
96047153,3,"Rower",NA,NA,NA
96050964,1,"Rower",NA,NA,NA
96050964,2,"Samochód osobowy",NA,NA,NA
96052129,1,"Samochód osobowy",NA,NA,NA
96052129,2,"Rower",NA,NA,NA
96054916,1,"Rower",NA,NA,NA
96054916,2,"Samochód osobowy",NA,NA,NA
96054943,1,"Samochód osobowy",NA,NA,NA
96054943,2,"Rower",NA,NA,NA
96066180,1,"Rower",NA,NA,NA
96066180,2,"Samochód osobowy",NA,NA,NA
96079023,1,"Samochód osobowy",NA,NA,NA
96079023,2,"Rower",NA,NA,NA
96152438,1,"Rower",NA,NA,NA
96152438,2,"Samochód osobowy",NA,NA,NA
96214117,1,"Rower",NA,NA,NA
96214117,2,"Samochód osobowy",NA,NA,NA
96245355,1,"Samochód osobowy",NA,NA,NA
96245355,2,"Rower",NA,NA,NA
96294006,1,"Samochód osobowy",NA,NA,NA
96294006,2,"Rower",NA,NA,NA
96311135,1,"Rower",NA,NA,NA
96311135,2,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
96360977,1,"Samochód osobowy",NA,NA,NA
96360977,2,"Rower",NA,NA,NA
96376207,1,"Rower",NA,NA,NA
96376207,2,"Samochód osobowy",NA,NA,NA
96470972,1,"Rower",NA,NA,NA
96470972,2,"Samochód osobowy",NA,NA,NA
96475964,1,"Samochód osobowy",NA,NA,NA
96475964,2,"Rower",NA,NA,NA
96577471,1,"Rower",NA,NA,NA
96577471,2,"Samochód osobowy",NA,NA,NA
96581507,1,"Samochód osobowy",NA,NA,NA
96581507,2,"Rower",NA,NA,NA
96589151,1,"Rower",NA,NA,NA
96589151,2,"Samochód osobowy",NA,NA,NA
96602447,1,"Rower",NA,NA,NA
96603271,1,"Rower",NA,NA,NA
96603271,2,"Samochód osobowy",NA,NA,NA
96622001,1,"Samochód osobowy",NA,NA,NA
96622001,2,"Rower",NA,NA,NA
96628966,1,"Rower",NA,NA,NA
96628966,2,"Samochód osobowy",NA,NA,NA
96661897,1,"Rower",NA,NA,NA
96661897,2,"Samochód osobowy",NA,NA,NA
96661932,1,"Rower",NA,NA,NA
96661932,2,"Samochód osobowy",NA,NA,NA
96663470,1,"Rower",NA,NA,NA
96663470,2,"Samochód osobowy",NA,NA,NA
96663477,1,"Samochód osobowy",NA,NA,NA
96663477,2,"Rower",NA,NA,NA
96663489,1,"Rower",NA,NA,NA
96663489,2,"Samochód osobowy",NA,NA,NA
96667003,1,"Rower",NA,NA,NA
96667003,2,"Samochód osobowy",NA,NA,NA
96668814,1,"Rower",NA,NA,NA
96668814,2,"Samochód osobowy",NA,NA,NA
96669175,1,"Samochód osobowy",NA,NA,NA
96669175,2,"Rower",NA,NA,NA
96671293,1,"Autobus komunikacji publicznej",NA,NA,NA
96671293,2,"Rower",NA,NA,NA
96673080,1,"Rower",NA,NA,NA
96681035,1,"Rower",NA,NA,NA
96686018,1,"Rower",NA,NA,NA
96686018,2,"Samochód osobowy",NA,NA,NA
96686635,1,"Rower",NA,NA,NA
96686635,2,"Samochód osobowy",NA,NA,NA
96688092,1,"Rower",NA,NA,NA
96688092,2,"Samochód osobowy",NA,NA,NA
96698672,1,"Rower",NA,NA,NA
96706969,1,"Rower",NA,NA,NA
96706969,2,"Samochód osobowy",NA,NA,NA
96713013,1,"Samochód osobowy",NA,NA,NA
96713013,2,"Rower",NA,NA,NA
96714431,1,"Samochód osobowy",NA,NA,NA
96714431,2,"Rower",NA,NA,NA
96719599,1,"Samochód osobowy",NA,NA,NA
96719599,2,"Rower",NA,NA,NA
96727998,1,"Samochód osobowy",NA,NA,NA
96727998,2,"Rower",NA,NA,NA
96751088,1,"Rower",NA,NA,NA
96751088,2,"Samochód osobowy",NA,NA,NA
96765210,1,"Rower",NA,NA,NA
96765210,2,"Samochód osobowy",NA,NA,NA
96783936,1,"Samochód osobowy",NA,NA,NA
96783936,2,"Rower",NA,NA,NA
96784307,1,"Samochód osobowy",NA,NA,NA
96784307,2,"Rower",NA,NA,NA
96786151,1,"Samochód osobowy",NA,NA,NA
96786151,2,"Rower",NA,NA,NA
96786587,1,"Samochód osobowy",NA,NA,NA
96786587,2,"Rower",NA,NA,NA
96788636,1,"Rower",NA,NA,NA
96791093,1,"Rower",NA,NA,NA
96791093,2,"Samochód osobowy",NA,NA,NA
96791603,1,"Samochód osobowy",NA,NA,NA
96791603,2,"Rower",NA,NA,NA
96791625,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
96791625,2,"Rower",NA,NA,NA
96791782,1,"Rower",NA,NA,NA
96791782,2,"Samochód osobowy",NA,NA,NA
96792764,1,"Rower",NA,NA,NA
96792764,2,"Samochód osobowy",NA,NA,NA
96792981,1,"Samochód osobowy",NA,NA,NA
96792981,2,"Rower",NA,NA,NA
96793765,1,"Rower",NA,NA,NA
96793765,2,"Samochód osobowy",NA,NA,NA
96795160,1,"Rower",NA,NA,NA
96795160,2,"Samochód osobowy",NA,NA,NA
96795465,1,"Rower",NA,NA,NA
96795465,2,"Samochód osobowy",NA,NA,NA
96795690,1,"Rower",NA,NA,NA
96795690,2,"Tramwaj, trolejbus",NA,NA,NA
96796397,1,"Samochód osobowy",NA,NA,NA
96796397,2,"Rower",NA,NA,NA
96796456,1,"Rower",NA,NA,NA
96796456,2,"Samochód osobowy",NA,NA,NA
96796770,1,"Samochód osobowy",NA,NA,NA
96796770,2,"Rower",NA,NA,NA
96797187,1,"Rower",NA,NA,NA
96797213,1,"Samochód osobowy",NA,NA,NA
96797213,2,"Rower",NA,NA,NA
96797385,1,"Rower",NA,NA,NA
96797385,2,"Samochód osobowy",NA,NA,NA
96797385,3,"Samochód osobowy",NA,NA,NA
96797651,1,"Rower",NA,NA,NA
96797651,2,"Samochód osobowy",NA,NA,NA
96797669,1,"Autobus komunikacji publicznej",NA,NA,NA
96797669,2,"Rower",NA,NA,NA
96797777,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
96797777,2,"Rower",NA,NA,NA
96798596,1,"Rower",NA,NA,NA
96798596,2,"Autobus inny",NA,NA,NA
96798670,1,"Rower",NA,NA,NA
96798670,2,"Samochód osobowy",NA,NA,NA
96799650,1,"Rower",NA,NA,NA
96799650,2,"Samochód osobowy",NA,NA,NA
96800842,1,"Rower",NA,NA,NA
96800842,2,"Samochód osobowy",NA,NA,NA
96801064,1,"Rower",NA,NA,NA
96801064,2,"Samochód osobowy",NA,NA,NA
96801212,1,"Rower",NA,NA,NA
96801212,2,"Samochód osobowy",NA,NA,NA
96801350,1,"Samochód osobowy",NA,NA,NA
96801350,2,"Rower",NA,NA,NA
96801352,1,"Rower",NA,NA,NA
96801352,2,"Samochód osobowy",NA,NA,NA
96801865,1,"Samochód osobowy",NA,NA,NA
96801865,2,"Rower",NA,NA,NA
96803385,1,"Samochód osobowy",NA,NA,NA
96803385,2,"Rower",NA,NA,NA
96803450,1,"Samochód osobowy",NA,NA,NA
96803450,2,"Rower",NA,NA,NA
96803459,1,"Samochód osobowy",NA,NA,NA
96803459,2,"Rower",NA,NA,NA
96803572,1,"Rower",NA,NA,NA
96803572,2,"Samochód osobowy",NA,NA,NA
96804702,1,"Rower",NA,NA,NA
96804702,2,"Samochód osobowy",NA,NA,NA
96806253,1,"Rower",NA,NA,NA
96806431,1,"Rower",NA,NA,NA
96806541,1,"Rower",NA,NA,NA
96806541,2,"Samochód osobowy",NA,NA,NA
96806696,1,"Rower",NA,NA,NA
96808517,1,"Samochód osobowy",NA,NA,NA
96808517,2,"Rower",NA,NA,NA
96808803,1,"Rower",NA,NA,NA
96808803,2,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
96811407,1,"Rower",NA,NA,NA
96812916,1,"Rower",NA,NA,NA
96812916,2,"Samochód osobowy",NA,NA,NA
96814604,1,"Rower",NA,NA,NA
96814604,2,"Samochód osobowy",NA,NA,NA
96814771,1,"Rower",NA,NA,NA
96815338,1,"Rower",NA,NA,NA
96815338,2,"Samochód osobowy",NA,NA,NA
96815617,1,"Rower",NA,NA,NA
96815617,2,"Samochód osobowy",NA,NA,NA
96816750,1,"Samochód osobowy",NA,NA,NA
96816750,2,"Rower",NA,NA,NA
96816792,1,"Rower",NA,NA,NA
96816792,2,"Samochód osobowy",NA,NA,NA
96816802,1,"Rower",NA,NA,NA
96816802,2,"Samochód osobowy",NA,NA,NA
96817339,1,"Samochód osobowy",NA,NA,NA
96817339,2,"Rower",NA,NA,NA
96817422,1,"Samochód osobowy",NA,NA,NA
96817422,2,"Rower",NA,NA,NA
96820847,1,"Rower",NA,NA,NA
96820847,2,"Samochód osobowy",NA,NA,NA
96820901,1,"Samochód osobowy",NA,NA,NA
96820901,2,"Rower",NA,NA,NA
96820901,3,"Samochód osobowy",NA,NA,NA
96820934,1,"Samochód osobowy",NA,NA,NA
96820934,2,"Rower",NA,NA,NA
96821410,1,"Rower",NA,NA,NA
96821410,2,"Samochód osobowy",NA,NA,NA
96821443,1,"Rower",NA,NA,NA
96821443,2,"Samochód osobowy",NA,NA,NA
96821448,1,"Rower",NA,NA,NA
96821448,2,"Samochód osobowy",NA,NA,NA
96822317,1,"Samochód osobowy",NA,NA,NA
96822317,2,"Rower",NA,NA,NA
96822365,1,"Samochód osobowy",NA,NA,NA
96822365,2,"Rower",NA,NA,NA
96822756,1,"Rower",NA,NA,NA
96822756,2,"Samochód osobowy",NA,NA,NA
96823137,1,"Rower",NA,NA,NA
96823137,2,"Rower",NA,NA,NA
96823515,1,"Rower",NA,NA,NA
96824318,1,"Autobus inny",NA,NA,NA
96824318,2,"Rower",NA,NA,NA
96825018,1,"Rower",NA,NA,NA
96825018,2,"Samochód osobowy",NA,NA,NA
96825227,1,"Rower",NA,NA,NA
96825233,1,"Rower",NA,NA,NA
96825233,2,"Samochód osobowy",NA,NA,NA
96825240,1,"Samochód osobowy",NA,NA,NA
96825240,2,"Rower",NA,NA,NA
96825511,1,"Rower",NA,NA,NA
96825511,2,"Samochód osobowy",NA,NA,NA
96825546,1,"Samochód osobowy",NA,NA,NA
96825546,2,"Rower",NA,NA,NA
96825796,1,"Rower",NA,NA,NA
96826888,1,"Rower",NA,NA,NA
96826888,2,"Samochód osobowy",NA,NA,NA
96827989,1,"Rower",NA,NA,NA
96827989,2,"Samochód osobowy",NA,NA,NA
96828521,1,"Rower",NA,NA,NA
96828521,2,"Samochód osobowy",NA,NA,NA
96828694,1,"Samochód osobowy",NA,NA,NA
96828694,2,"Rower",NA,NA,NA
96829050,1,"Rower",NA,NA,NA
96829050,2,"Samochód osobowy",NA,NA,NA
96830763,1,"Samochód osobowy",NA,NA,NA
96830763,2,"Rower",NA,NA,NA
96830919,1,"Rower",NA,NA,NA
96830919,2,"Samochód osobowy",NA,NA,NA
96831038,1,"Samochód osobowy",NA,NA,NA
96831038,2,"Rower",NA,NA,NA
96831547,1,"Rower",NA,NA,NA
96831547,2,"Samochód osobowy",NA,NA,NA
96832168,1,"Rower",NA,NA,NA
96832168,2,"Samochód osobowy",NA,NA,NA
96832266,1,"Samochód osobowy",NA,NA,NA
96832266,2,"Rower",NA,NA,NA
96832412,1,"Rower",NA,NA,NA
96832412,2,"Samochód osobowy",NA,NA,NA
96832853,1,"Rower",NA,NA,NA
96832853,2,"Samochód osobowy",NA,NA,NA
96832919,1,"Rower",NA,NA,NA
96835136,1,"Rower",NA,NA,NA
96835136,2,"Autobus komunikacji publicznej",NA,NA,NA
96838071,1,"Samochód osobowy",NA,NA,NA
96838071,2,"Rower",NA,NA,NA
96839763,1,"Rower",NA,NA,NA
96839763,2,"Samochód osobowy",NA,NA,NA
96839988,1,"Rower",NA,NA,NA
96839988,2,"Samochód osobowy",NA,NA,NA
96839992,1,"Rower",NA,NA,NA
96839992,2,"Samochód osobowy",NA,NA,NA
96839993,1,"Samochód osobowy",NA,NA,NA
96839993,2,"Rower",NA,NA,NA
96840174,1,"Samochód osobowy",NA,NA,NA
96840174,2,"Rower",NA,NA,NA
96840344,1,"Rower",NA,NA,NA
96840344,2,"Samochód osobowy",NA,NA,NA
96840503,1,"Samochód osobowy",NA,NA,NA
96840503,2,"Rower",NA,NA,NA
96840816,1,"Rower",NA,NA,NA
96840816,2,"Samochód osobowy",NA,NA,NA
96841410,1,"Motorower",NA,NA,NA
96841410,2,"Rower",NA,NA,NA
96841813,1,"Rower",NA,NA,NA
96841813,2,"Samochód osobowy",NA,NA,NA
96841821,1,"Rower",NA,NA,NA
96841821,2,"Samochód osobowy",NA,NA,NA
96842955,1,"Samochód osobowy",NA,NA,NA
96842955,2,"Rower",NA,NA,NA
96842976,1,"Rower",NA,NA,NA
96843404,1,"Rower",NA,NA,NA
96843404,2,"Rower",NA,NA,NA
96843745,1,"Rower",NA,NA,NA
96843745,2,"Rower",NA,NA,NA
96843944,1,"Samochód osobowy",NA,NA,NA
96843944,2,"Rower",NA,NA,NA
96844125,1,"Rower",NA,NA,NA
96844125,2,"Samochód osobowy",NA,NA,NA
96844448,1,"Rower",NA,NA,NA
96844448,2,"Samochód osobowy",NA,NA,NA
96844455,1,"Rower",NA,NA,NA
96844455,2,"Samochód osobowy",NA,NA,NA
96844584,1,"Samochód osobowy",NA,NA,NA
96844584,2,"Rower",NA,NA,NA
96844589,1,"Rower",NA,NA,NA
96844589,2,"Rower",NA,NA,NA
96844673,1,"Samochód osobowy",NA,NA,NA
96844673,2,"Rower",NA,NA,NA
96844806,1,"Rower",NA,NA,NA
96844806,2,"Rower",NA,NA,NA
96845210,1,"Samochód osobowy",NA,NA,NA
96845210,2,"Rower",NA,NA,NA
96845246,1,"Rower",NA,NA,NA
96845246,2,"Samochód osobowy",NA,NA,NA
96846249,1,"Samochód osobowy",NA,NA,NA
96846249,2,"Rower",NA,NA,NA
96846763,1,"Rower",NA,NA,NA
96846763,2,"Samochód osobowy",NA,NA,NA
96847198,1,"Rower",NA,NA,NA
96847198,2,"Samochód osobowy",NA,NA,NA
96847311,1,"Rower",NA,NA,NA
96847311,2,"Samochód osobowy",NA,NA,NA
96847932,1,"Samochód osobowy",NA,NA,NA
96847932,2,"Rower",NA,NA,NA
96847939,1,"Samochód osobowy",NA,NA,NA
96847939,2,"Rower",NA,NA,NA
96848181,1,"Rower",NA,NA,NA
96848181,2,"Samochód osobowy",NA,NA,NA
96848291,1,"Samochód osobowy",NA,NA,NA
96848291,2,"Rower",NA,NA,NA
96848881,1,"Samochód osobowy",NA,NA,NA
96848881,2,"Rower",NA,NA,NA
96848892,1,"Samochód osobowy",NA,NA,NA
96848892,2,"Rower",NA,NA,NA
96849019,1,"Rower",NA,NA,NA
96849380,1,"Rower",NA,NA,NA
96849380,2,"Samochód osobowy",NA,NA,NA
96849504,1,"Rower",NA,NA,NA
96849504,2,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
96849973,1,"Rower",NA,NA,NA
96849973,2,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
96850459,1,"Samochód osobowy",NA,NA,NA
96850459,2,"Rower",NA,NA,NA
96850486,1,"Samochód osobowy",NA,NA,NA
96850486,2,"Rower",NA,NA,NA
96851168,1,"Samochód osobowy",NA,NA,NA
96851168,2,"Rower",NA,NA,NA
96852591,1,"Rower",NA,NA,NA
96852591,2,"Rower",NA,NA,NA
96853163,1,"Rower",NA,NA,NA
96853163,2,"Samochód osobowy",NA,NA,NA
96853723,1,"Rower",NA,NA,NA
96854460,1,"Rower",NA,NA,NA
96854460,2,"Samochód osobowy",NA,NA,NA
96854803,1,"Samochód osobowy",NA,NA,NA
96854803,2,"Rower",NA,NA,NA
96856058,1,"Samochód osobowy",NA,NA,NA
96856058,2,"Rower",NA,NA,NA
96856152,1,"Rower",NA,NA,NA
96856152,2,"Samochód osobowy",NA,NA,NA
96856728,1,"Samochód osobowy",NA,NA,NA
96856728,2,"Rower",NA,NA,NA
96856732,1,"Rower",NA,NA,NA
96856732,2,"Samochód osobowy",NA,NA,NA
96856862,1,"Samochód osobowy",NA,NA,NA
96856862,2,"Rower",NA,NA,NA
96859110,1,"Samochód osobowy",NA,NA,NA
96859110,2,"Rower",NA,NA,NA
96859393,1,"Rower",NA,NA,NA
96859393,2,"Samochód osobowy",NA,NA,NA
96860121,1,"Samochód osobowy",NA,NA,NA
96860121,2,"Rower",NA,NA,NA
96860207,1,"Samochód osobowy",NA,NA,NA
96860207,2,"Rower",NA,NA,NA
96860707,1,"Rower",NA,NA,NA
96860707,2,"Rower",NA,NA,NA
96861540,1,"Samochód osobowy",NA,NA,NA
96861540,2,"Rower",NA,NA,NA
96862053,1,"Rower",NA,NA,NA
96862053,2,"Samochód osobowy",NA,NA,NA
96862173,1,"Samochód osobowy",NA,NA,NA
96862173,2,"Rower",NA,NA,NA
96862473,1,"Samochód osobowy",NA,NA,NA
96862473,2,"Rower",NA,NA,NA
96862674,1,"Rower",NA,NA,NA
96862674,2,"Samochód osobowy",NA,NA,NA
96864491,1,"Samochód osobowy",NA,NA,NA
96864491,2,"Rower",NA,NA,NA
96865148,1,"Rower",NA,NA,NA
96865148,2,"Samochód osobowy",NA,NA,NA
96866817,1,"Rower",NA,NA,NA
96866817,2,"Rower",NA,NA,NA
96866874,1,"Rower",NA,NA,NA
96866874,2,"Samochód osobowy",NA,NA,NA
96867527,1,"Rower",NA,NA,NA
