"Id","ID.pojazdu","Typ","Marka","Usterki","Cechy.szczególne"
108529741,1,"Rower",NA,NA,NA
108529741,2,"Samochód osobowy",NA,NA,NA
108530259,1,"Samochód osobowy",NA,NA,NA
108530259,2,"Rower",NA,NA,NA
108530341,1,"Rower",NA,NA,NA
108530341,2,"Samochód osobowy",NA,NA,NA
108530576,1,"Rower",NA,NA,NA
108530576,2,"Samochód osobowy",NA,NA,NA
108530674,1,"Samochód osobowy",NA,NA,NA
108530674,2,"Rower",NA,NA,NA
108539965,1,"Rower",NA,NA,NA
108539965,2,"Samochód osobowy",NA,NA,NA
108545440,1,"Rower",NA,NA,NA
108545440,2,"Samochód osobowy",NA,NA,NA
108547621,1,"Samochód osobowy",NA,NA,NA
108547621,2,"Rower",NA,NA,NA
108547797,1,"Rower",NA,NA,NA
108547797,2,"Samochód osobowy",NA,NA,NA
108550340,1,"Samochód osobowy",NA,NA,NA
108550340,2,"Rower",NA,NA,NA
108552216,1,"Rower",NA,NA,NA
108552216,2,"Samochód osobowy",NA,NA,NA
108555567,1,"Rower",NA,NA,NA
108558742,1,"Samochód osobowy",NA,NA,NA
108558742,2,"Rower",NA,NA,NA
108561493,1,"Rower",NA,NA,NA
108561493,2,"Samochód osobowy",NA,NA,NA
108566089,1,"Rower",NA,NA,NA
108566089,2,"Samochód osobowy",NA,NA,NA
108569611,1,"Rower",NA,NA,NA
108569611,2,"Samochód osobowy",NA,NA,NA
108572522,1,"Rower",NA,NA,NA
108572522,2,"Samochód osobowy",NA,NA,NA
108575781,1,"Samochód osobowy",NA,NA,NA
108575781,2,"Rower",NA,NA,NA
108577900,1,"Rower",NA,NA,NA
108577900,2,"Samochód osobowy",NA,NA,NA
108580801,1,"Rower",NA,NA,NA
108580801,2,"Autobus komunikacji publicznej",NA,NA,NA
108580902,1,"Rower",NA,NA,NA
108580902,2,"Samochód osobowy",NA,NA,NA
108580942,1,"Rower",NA,NA,NA
108580942,2,"Samochód osobowy",NA,NA,NA
108582114,1,"Rower",NA,NA,NA
108586415,1,"Tramwaj, trolejbus",NA,NA,NA
108586415,2,"Rower",NA,NA,NA
108588566,1,"Samochód osobowy",NA,NA,NA
108588566,2,"Rower",NA,NA,NA
108600930,1,"Samochód osobowy",NA,NA,NA
108600930,2,"Rower",NA,NA,NA
108604943,1,"Rower",NA,NA,NA
108604943,2,"Samochód osobowy",NA,NA,NA
108610452,1,"Rower",NA,NA,NA
108610452,2,"Samochód osobowy",NA,NA,NA
108611014,1,"Samochód osobowy",NA,NA,NA
108611014,2,"Rower",NA,NA,NA
108612818,1,"Rower",NA,NA,NA
108612818,2,"Samochód osobowy",NA,NA,NA
108612877,1,"Rower",NA,NA,NA
108612877,2,"Samochód osobowy",NA,NA,NA
108612969,1,"Rower",NA,NA,NA
108612969,2,"Samochód osobowy",NA,NA,NA
108613179,1,"Motocykl o poj. do 125 cm3 (do 11 kw/0,1 KW/kg)",NA,NA,NA
108613179,2,"Rower",NA,NA,NA
108625458,1,"Rower",NA,NA,NA
108625458,2,"Samochód osobowy",NA,NA,NA
108635053,1,"Rower",NA,NA,NA
108635053,2,"Rower",NA,NA,NA
108641266,1,"Rower",NA,NA,NA
108642819,1,"Rower",NA,NA,NA
108642819,2,"Samochód osobowy",NA,NA,NA
108644465,1,"Rower",NA,NA,NA
108644465,2,"Pojazd nieustalony",NA,NA,NA
108644929,1,"Rower",NA,NA,NA
108644929,2,"Samochód osobowy",NA,NA,NA
108646858,1,"Samochód osobowy",NA,NA,NA
108646858,2,"Rower",NA,NA,NA
108647253,1,"Rower",NA,NA,NA
108647253,2,"Samochód osobowy",NA,NA,NA
108647458,1,"Samochód osobowy",NA,NA,NA
108647458,2,"Rower",NA,NA,NA
108650070,1,"Rower",NA,NA,NA
108651413,1,"Rower",NA,NA,NA
108651413,2,"Samochód osobowy",NA,NA,NA
108653794,1,"Rower",NA,NA,NA
108653794,2,"Samochód osobowy",NA,NA,NA
108657760,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
108657760,2,"Rower",NA,NA,NA
108658333,1,"Rower",NA,NA,NA
108658545,1,"Samochód osobowy",NA,NA,NA
108658545,2,"Rower",NA,NA,NA
108660809,1,"Rower",NA,NA,NA
108660809,2,"Samochód osobowy",NA,NA,NA
108662984,1,"Rower",NA,NA,NA
108662984,2,"Samochód osobowy",NA,NA,NA
108666679,1,"Rower",NA,NA,NA
108666679,2,"Samochód osobowy",NA,NA,NA
108670043,1,"Rower",NA,NA,NA
108670043,2,"Samochód osobowy",NA,NA,NA
108671478,1,"Rower",NA,NA,NA
