"Id","ID.pojazdu","Typ","Marka","Usterki","Cechy.szczególne"
98082709,1,"Rower",NA,NA,NA
98082709,2,"Samochód osobowy",NA,NA,NA
98084671,1,"Samochód osobowy",NA,NA,NA
98084671,2,"Rower",NA,NA,NA
98087599,1,"Samochód osobowy",NA,NA,NA
98087599,2,"Rower",NA,NA,NA
98089638,1,"Rower",NA,NA,NA
98089638,2,"Samochód osobowy",NA,NA,NA
98090173,1,"Samochód osobowy",NA,NA,NA
98090173,2,"Rower",NA,NA,NA
98094187,1,"Samochód osobowy",NA,NA,NA
98094187,2,"Rower",NA,NA,NA
98094525,1,"Samochód osobowy",NA,NA,NA
98094525,2,"Rower",NA,NA,NA
98095148,1,"Samochód osobowy",NA,NA,NA
98095148,2,"Rower",NA,NA,NA
98097067,1,"Samochód osobowy",NA,NA,NA
98097067,2,"Rower",NA,NA,NA
98099455,1,"Samochód osobowy",NA,NA,NA
98099455,2,"Rower",NA,NA,NA
98099468,1,"Samochód osobowy",NA,NA,NA
98099468,2,"Rower",NA,NA,NA
98105590,1,"Rower",NA,NA,NA
98105590,2,"Samochód osobowy",NA,NA,NA
98107397,1,"Samochód osobowy",NA,NA,NA
98107397,2,"Rower",NA,NA,NA
98107990,1,"Samochód osobowy",NA,NA,NA
98107990,2,"Rower",NA,NA,NA
98109552,1,"Samochód osobowy",NA,NA,NA
98109552,2,"Rower",NA,NA,NA
98110835,1,"Samochód osobowy",NA,NA,NA
98110835,2,"Rower",NA,NA,NA
98111059,1,"Rower",NA,NA,NA
98111059,2,"Samochód osobowy",NA,NA,NA
98115879,1,"Samochód osobowy",NA,NA,NA
98115879,2,"Rower",NA,NA,NA
98120683,1,"Rower",NA,NA,NA
98120683,2,"Samochód osobowy",NA,NA,NA
98124207,1,"Samochód osobowy",NA,NA,NA
98124207,2,"Rower",NA,NA,NA
98127057,1,"Rower",NA,NA,NA
98127057,2,"Samochód osobowy",NA,NA,NA
98127662,1,"Samochód osobowy",NA,NA,NA
98127662,2,"Rower",NA,NA,NA
98130092,1,"Rower",NA,NA,NA
98130092,2,"Samochód osobowy",NA,NA,NA
98131937,1,"Samochód osobowy",NA,NA,NA
98131937,2,"Rower",NA,NA,NA
98132497,1,"Samochód osobowy",NA,NA,NA
98132497,2,"Rower",NA,NA,NA
98132939,1,"Samochód osobowy",NA,NA,NA
98132939,2,"Rower",NA,NA,NA
98136007,1,"Samochód osobowy",NA,NA,NA
98136007,2,"Rower",NA,NA,NA
98136399,1,"Samochód osobowy",NA,NA,NA
98136399,2,"Rower",NA,NA,NA
98137054,1,"Samochód osobowy",NA,NA,NA
98137054,2,"Rower",NA,NA,NA
98138877,1,"Samochód osobowy",NA,NA,NA
98138877,2,"Rower",NA,NA,NA
98141625,1,"Rower",NA,NA,NA
98141625,2,"Samochód osobowy",NA,NA,NA
98141941,1,"Pojazd nieustalony",NA,NA,NA
98141941,2,"Rower",NA,NA,NA
98142556,1,"Rower",NA,NA,NA
98142556,2,"Samochód osobowy",NA,NA,NA
98142744,1,"Rower",NA,NA,NA
98142744,2,"Samochód osobowy",NA,NA,NA
98144146,1,"Rower",NA,NA,NA
98144324,1,"Samochód osobowy",NA,NA,NA
98144324,2,"Rower",NA,NA,NA
98144899,1,"Rower",NA,NA,NA
98144899,2,"Autobus komunikacji publicznej",NA,NA,NA
98145929,1,"Rower",NA,NA,NA
98145929,2,"Samochód osobowy",NA,NA,NA
98148605,1,"Rower",NA,NA,NA
98148605,2,"Samochód osobowy",NA,NA,NA
98150661,1,"Rower",NA,NA,NA
98150661,2,"Samochód osobowy",NA,NA,NA
98151481,1,"Rower",NA,NA,NA
98151481,2,"Samochód osobowy",NA,NA,NA
98154574,1,"Samochód osobowy",NA,NA,NA
98154574,2,"Rower",NA,NA,NA
98154803,1,"Samochód osobowy",NA,NA,NA
98154803,2,"Rower",NA,NA,NA
98155541,1,"Samochód osobowy",NA,NA,NA
98155541,2,"Rower",NA,NA,NA
98157917,1,"Samochód osobowy",NA,NA,NA
98157917,2,"Rower",NA,NA,NA
98159844,1,"Samochód osobowy",NA,NA,NA
98159844,2,"Rower",NA,NA,NA
98163842,1,"Rower",NA,NA,NA
98163842,2,"Samochód osobowy",NA,NA,NA
98165434,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
98165434,2,"Rower",NA,NA,NA
98165498,1,"Rower",NA,NA,NA
98165498,2,"Rower",NA,NA,NA
98165563,1,"Samochód osobowy",NA,NA,NA
98165563,2,"Rower",NA,NA,NA
98165662,1,"Samochód osobowy",NA,NA,NA
98165662,2,"Rower",NA,NA,NA
98166830,1,"Samochód osobowy",NA,NA,NA
98166830,2,"Rower",NA,NA,NA
98167361,1,"Samochód osobowy",NA,NA,NA
98167361,2,"Rower",NA,NA,NA
98167661,1,"Samochód osobowy",NA,NA,NA
98167661,2,"Rower",NA,NA,NA
98167673,1,"Samochód osobowy",NA,NA,NA
98167673,2,"Rower",NA,NA,NA
98167834,1,"Rower",NA,NA,NA
98167834,2,"Samochód osobowy",NA,NA,NA
98167917,1,"Rower",NA,NA,NA
98167917,2,"Autobus komunikacji publicznej",NA,NA,NA
98167960,1,"Rower",NA,NA,NA
98167960,2,"Samochód osobowy",NA,NA,NA
98168809,1,"Rower",NA,NA,NA
98168809,2,"Samochód osobowy",NA,NA,NA
98169922,1,"Samochód osobowy",NA,NA,NA
98169922,2,"Rower",NA,NA,NA
98173286,1,"Samochód osobowy",NA,NA,NA
98173286,2,"Rower",NA,NA,NA
98178894,1,"Samochód osobowy",NA,NA,NA
98178894,2,"Rower",NA,NA,NA
98179620,1,"Rower",NA,NA,NA
98179620,2,"Samochód osobowy",NA,NA,NA
98179658,1,"Samochód osobowy",NA,NA,NA
98179658,2,"Rower",NA,NA,NA
98180006,1,"Rower",NA,NA,NA
98180006,2,"Samochód osobowy",NA,NA,NA
98181076,1,"Samochód osobowy",NA,NA,NA
98181076,2,"Rower",NA,NA,NA
98181866,1,"Rower",NA,NA,NA
98181866,2,"Samochód osobowy",NA,NA,NA
98182990,1,"Samochód osobowy",NA,NA,NA
98182990,2,"Rower",NA,NA,NA
98183368,1,"Samochód osobowy",NA,NA,NA
98183368,2,"Rower",NA,NA,NA
98184184,1,"Samochód osobowy",NA,NA,NA
98184184,2,"Rower",NA,NA,NA
98184531,1,"Samochód osobowy",NA,NA,NA
98184531,2,"Rower",NA,NA,NA
98184837,1,"Samochód osobowy",NA,NA,NA
98184837,2,"Rower",NA,NA,NA
98187130,1,"Samochód osobowy",NA,NA,NA
98187130,2,"Rower",NA,NA,NA
98188034,1,"Rower",NA,NA,NA
98188034,2,"Samochód osobowy",NA,NA,NA
98188494,1,"Samochód osobowy",NA,NA,NA
98188494,2,"Rower",NA,NA,NA
98188716,1,"Samochód osobowy",NA,NA,NA
98188716,2,"Rower",NA,NA,NA
98189272,1,"Samochód osobowy",NA,NA,NA
98189272,2,"Rower",NA,NA,NA
98191403,1,"Samochód osobowy",NA,NA,NA
98191403,2,"Rower",NA,NA,NA
98193329,1,"Rower",NA,NA,NA
98193624,1,"Samochód osobowy",NA,NA,NA
98193624,2,"Rower",NA,NA,NA
98194104,1,"Samochód osobowy",NA,NA,NA
98194104,2,"Rower",NA,NA,NA
98194526,1,"Samochód osobowy",NA,NA,NA
98194526,2,"Rower",NA,NA,NA
98194668,1,"Rower",NA,NA,NA
98195266,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
98195266,2,"Rower",NA,NA,NA
98196019,1,"Pojazd nieustalony",NA,NA,NA
98196019,2,"Rower",NA,NA,NA
98196135,1,"Rower",NA,NA,NA
98196135,2,"Rower",NA,NA,NA
98196824,1,"Samochód osobowy",NA,NA,NA
98196824,2,"Rower",NA,NA,NA
98197218,1,"Rower",NA,NA,NA
98197218,2,"Samochód osobowy",NA,NA,NA
98197673,1,"Samochód osobowy",NA,NA,NA
98197673,2,"Rower",NA,NA,NA
98198831,1,"Samochód osobowy",NA,NA,NA
98198831,2,"Rower",NA,NA,NA
98200030,1,"Inny",NA,NA,NA
98200030,2,"Rower",NA,NA,NA
98200545,1,"Rower",NA,NA,NA
98200545,2,"Samochód osobowy",NA,NA,NA
98200565,1,"Rower",NA,NA,NA
98200565,2,"Autobus komunikacji publicznej",NA,NA,NA
98201659,1,"Samochód osobowy",NA,NA,NA
98201659,2,"Rower",NA,NA,NA
98202206,1,"Rower",NA,NA,NA
98202206,2,"Samochód osobowy",NA,NA,NA
98202798,1,"Samochód osobowy",NA,NA,NA
98202798,2,"Rower",NA,NA,NA
98203550,1,"Samochód osobowy",NA,NA,NA
98203550,2,"Rower",NA,NA,NA
98205360,1,"Samochód osobowy",NA,NA,NA
98205360,2,"Rower",NA,NA,NA
98205360,3,"Rower",NA,NA,NA
98206245,1,"Samochód osobowy",NA,NA,NA
98206245,2,"Rower",NA,NA,NA
98206826,1,"Rower",NA,NA,NA
98206826,2,"Samochód osobowy",NA,NA,NA
98206866,1,"Rower",NA,NA,NA
98206866,2,"Samochód osobowy",NA,NA,NA
98207442,1,"Rower",NA,NA,NA
98207572,1,"Samochód osobowy",NA,NA,NA
98207572,2,"Rower",NA,NA,NA
98207763,1,"Rower",NA,NA,NA
98207763,2,"Samochód osobowy",NA,NA,NA
98208019,1,"Rower",NA,NA,NA
98208019,2,"Samochód osobowy",NA,NA,NA
98208714,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
98208714,2,"Rower",NA,NA,NA
98208986,1,"Rower",NA,NA,NA
98208986,2,"Samochód osobowy",NA,NA,NA
98209202,1,"Rower",NA,NA,NA
98209611,1,"Samochód osobowy",NA,NA,NA
98209611,2,"Rower",NA,NA,NA
98209694,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
98209694,2,"Rower",NA,NA,NA
98210908,1,"Rower",NA,NA,NA
98211161,1,"Rower",NA,NA,NA
98211161,2,"Samochód osobowy",NA,NA,NA
98211500,1,"Rower",NA,NA,NA
98211500,2,"Samochód osobowy",NA,NA,NA
98213142,1,"Rower",NA,NA,NA
98213142,2,"Samochód osobowy",NA,NA,NA
98213613,1,"Rower",NA,NA,NA
98213613,2,"Samochód osobowy",NA,NA,NA
98213851,1,"Samochód osobowy",NA,NA,NA
98213851,2,"Rower",NA,NA,NA
98214352,1,"Samochód osobowy",NA,NA,NA
98214352,2,"Rower",NA,NA,NA
98214550,1,"Rower",NA,NA,NA
98214550,2,"Samochód osobowy",NA,NA,NA
98214602,1,"Samochód osobowy",NA,NA,NA
98214602,2,"Rower",NA,NA,NA
98214714,1,"Samochód osobowy",NA,NA,NA
98214714,2,"Rower",NA,NA,NA
98214807,1,"Rower",NA,NA,NA
98215017,1,"Samochód osobowy",NA,NA,NA
98215017,2,"Rower",NA,NA,NA
98215123,1,"Rower",NA,NA,NA
98215123,2,"Samochód osobowy",NA,NA,NA
98215303,1,"Rower",NA,NA,NA
98215303,2,"Pojazd nieustalony",NA,NA,NA
98216041,1,"Samochód osobowy",NA,NA,NA
98216041,2,"Rower",NA,NA,NA
98216906,1,"Rower",NA,NA,NA
98216906,2,"Samochód osobowy",NA,NA,NA
98217202,1,"Samochód osobowy",NA,NA,NA
98217202,2,"Rower",NA,NA,NA
98217205,1,"Rower",NA,NA,NA
98217511,1,"Samochód osobowy",NA,NA,NA
98217511,2,"Rower",NA,NA,NA
98218122,1,"Samochód osobowy",NA,NA,NA
