"Id","Rodzaj zdarzenia","Województwo","Powiat","Gmina","Adres","Współrzędne geograficzne","Data","Godzina","Warunki oświetleniowe","Warunki pogodowe","Charakterystyka miejsca zdarzenia","Typ drogi","Ograniczenie prędkości","Typ nawierzchni","Stan nawierzchni","Geometria drogi","Sygnalizacja świetlna","Oznakowanie poziome","Rodzaj skrzyżowania","Teren zabudowany","Inne przyczyny zdarzenia"
109711199,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT SŁUPSK","SŁUPSK - OBSZAR MIEJSKI","SŁUPSK BOHATERÓW WESTERPLATTE / KNIAZIEWICZA","17*02'429, 54*27'412","2021-01-05","11","Światło dzienne","Opady deszczu","Przejazd dla rowerzystów","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Brak","Jest, działa","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
109712316,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDYNIA","GDYNIA - OBSZAR MIEJSKI","GDYNIA PUŁKOWNIKA STANISŁAWA DĄBKA 2","18*30'335, 54*33'443","2021-01-05","15","Noc - droga oświetlona","Opady deszczu","Droga, pas ruchu, śluza dla rowerów","Dwie jezdnie jednokierunkowe","50 km/h","Twarda","Mokra","Zakręt, łuk","Brak","Jest","Brak","Obszar zabudowany","Brak"
109727288,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK PILOTÓW 1","18*35'529, 54*23'300","2021-01-08","17","Noc - droga oświetlona","Pochmurno","Przejazd dla rowerzystów","Jednojezdniowa dwukierunkowa","30 km/h","Twarda","Mokra","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
109750140,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT PUCKI","KROKOWA - OBSZAR WIEJSKI","DĘBKI MORSKA","18*05'140, 54*49'423","2021-01-11","15","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","20 km/h","Twarda","Sucha","Odcinek prosty","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
109794896,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT KARTUSKI","SOMONINO - OBSZAR WIEJSKI","RYBAKI DROGA KASZUBSKA","18*07'309, 54*13'589","2021-01-15","15","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","90 km/h","Twarda","Oblodzona, zaśnieżona","Wzniesienie","Brak","Jest","Brak","Obszar zabudowany","Brak"
109812228,"Zderzenie pojazdów czołowe","POMORSKIE","POWIAT SŁUPSKI","SMOŁDZINO - OBSZAR WIEJSKI","GARDNA WIELKA PARTYZANTÓW 20","17*10'152, 54*38'009","2021-01-20","16","Noc - droga oświetlona","Pochmurno","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Odcinek prosty","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
109831171,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK KOŚCIUSZKI / CHROBREGO","18*36'599, 54*23'180","2021-01-23","13","Światło dzienne","Opady deszczu","Jezdnia","Dwie jezdnie jednokierunkowe","50 km/h","Twarda","Mokra","Brak","Jest, działa","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
109832795,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT SŁUPSKI","KOBYLNICA - OBSZAR WIEJSKI","BOLESŁAWICE SŁUPSKA / LEŚNA","16*57'535, 54*27'032","2021-01-25","05","Zmrok, świt","Opady deszczu","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Brak","Brak","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
109834407,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK GRUNWALDZKA 270","18*34'387, 54*23'505","2021-01-25","19","Noc - droga oświetlona","Dobre warunki atmosferyczne","Przejazd dla rowerzystów","Dwie jezdnie jednokierunkowe","50 km/h","Twarda","Mokra","Odcinek prosty","Jest, działa","Jest","Brak","Obszar zabudowany","Brak"
109838221,"Inne","POMORSKIE","POWIAT WEJHEROWSKI","SZEMUD - OBSZAR WIEJSKI","SZEMUD WEJHEROWSKA NIEZNANE","18*15'246, 54*28'487","2021-01-26","09","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","70 km/h","Twarda","Mokra","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
