"Id","Rodzaj zdarzenia","Województwo","Powiat","Gmina","Adres","Data","Godzina","Warunki oświetleniowe","Warunki pogodowe","Charakterystyka miejsca zdarzenia","Typ drogi","Ograniczenie prędkości","Typ nawierzchni","Stan nawierzchni","Geometria drogi","Sygnalizacja świetlna","Oznakowanie poziome","Rodzaj skrzyżowania","Teren zabudowany","Inne przyczyny zdarzenia"
97563743,"Zderzenie pojazdów czołowe","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK PODWALE GRODZKIE / HUCISKO","2013-01-07","11","Światło dzienne","Pochmurno","Przejście dla pieszych","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Brak","Jest, działa","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
97564391,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT LĘBORSKI","LĘBORK - OBSZAR MIEJSKI","LĘBORK KOSSAKA 80","2013-01-02","10","Światło dzienne","Dobre warunki atmosferyczne","Chodnik, droga dla pieszych","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97567700,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT BYTOWSKI","BYTÓW - OBSZAR MIEJSKI","BYTÓW POCHYŁA","2013-01-08","17","Zmrok, świt","Opady śniegu, gradu","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Oblodzona, zaśnieżona","Spadek","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
97583686,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT NOWODWORSKI","NOWY DWÓR GDAŃSKI - OBSZAR MIE","RÓŻEWO","2013-01-07","17","Noc - droga oświetlona","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","70 km/h","Twarda","Sucha","Brak","Brak","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
97595429,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT LĘBORSKI","LĘBORK - OBSZAR MIEJSKI","LĘBORK HANDLOWA / ALEJA NIEPODLEGŁOŚCI","2013-01-17","09","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Dwie jezdnie jednokierunkowe","50 km/h","Twarda","Oblodzona, zaśnieżona","Brak","Brak","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
97595453,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT LĘBORSKI","LĘBORK - OBSZAR MIEJSKI","LĘBORK KRZYWOUSTEGO 1","2013-01-18","12","Światło dzienne","Pochmurno","Droga dla rowerzystów","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Dziury, wyboje","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97613371,"Zderzenie pojazdów tylne","POMORSKIE","POWIAT CZŁUCHOWSKI","DEBRZNO - OBSZAR WIEJSKI","KAMIEŃ","2013-01-28","06","Zmrok, świt","Mgła, dym","Jezdnia","Jednojezdniowa dwukierunkowa","90 km/h","Twarda","Oblodzona, zaśnieżona","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97624136,"Zderzenie pojazdów tylne","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK CHOPINA 14","2013-02-06","13","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Odcinek prosty","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
97683711,"Zderzenie pojazdów tylne","POMORSKIE","POWIAT LĘBORSKI","LĘBORK - OBSZAR MIEJSKI","LĘBORK KOSSAKA / STYKI","2013-02-25","16","Światło dzienne","Pochmurno","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Brak","Brak","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
97686371,"Najechanie na drzewo","POMORSKIE","POWIAT NOWODWORSKI","OSTASZEWO - OBSZAR WIEJSKI","LUBIESZEWO","2013-02-27","18","Noc - droga nieoświetlona","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97688103,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK PIASTOWSKA / GRUNWALDZKA","2013-02-25","12","Światło dzienne","Pochmurno","Droga dla rowerzystów","Dwie jezdnie jednokierunkowe","50 km/h","Twarda","Mokra","Brak","Jest, działa","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
97691899,"Zderzenie pojazdów tylne","POMORSKIE","POWIAT LĘBORSKI","LĘBORK - OBSZAR MIEJSKI","LĘBORK TRAUGUTTA","2013-02-28","07","Światło dzienne","Oślepiające słońce","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Odcinek prosty","Brak","Nie ma","Brak","Obszar zabudowany","Oślepienie przez inny pojazd lub słońce"
97692085,"Inne","POMORSKIE","POWIAT SŁUPSK","SŁUPSK - OBSZAR MIEJSKI","SŁUPSK DUNIKOWSKIEGO / KOSZALIŃSKA","2013-02-26","07","Światło dzienne","Pochmurno","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Oblodzona, zaśnieżona","Brak","Brak","Nie ma","Z drogą z pierwsz.","Obszar zabudowany","Inne"
97692551,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK JAŚKOWA DOLINA / KRUCZKOWSKIEGO","2013-03-04","11","Światło dzienne","Dobre warunki atmosferyczne","Droga dla rowerzystów","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Brak","Brak","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
97694284,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDYNIA","GDYNIA - OBSZAR MIEJSKI","GDYNIA KOMANDORSKA 16","2013-03-05","10","Światło dzienne","Dobre warunki atmosferyczne","Chodnik, droga dla pieszych","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Brak","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
97694865,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT WEJHEROWSKI","RUMIA - OBSZAR MIEJSKI","RUMIA CEGIELNIANA","2013-03-01","15","Światło dzienne","Dobre warunki atmosferyczne","Droga dla rowerzystów","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97696887,"Zderzenie pojazdów czołowe","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK BULOŃSKA 8","2013-03-05","16","Światło dzienne","Dobre warunki atmosferyczne","Przejście dla pieszych","Dwie jezdnie jednokierunkowe","50 km/h","Twarda","Sucha","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97698793,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK GRUNWALDZKA 607","2013-03-09","16","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Odcinek prosty","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
97705838,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDYNIA","GDYNIA - OBSZAR MIEJSKI","GDYNIA BOSMAŃSKA / NASYPOWA","2013-03-14","06","Światło dzienne","Dobre warunki atmosferyczne","Droga dla rowerzystów","Jednokierunkowa","50 km/h","Twarda","Sucha","Brak","Brak","Jest","O ruchu okrężnym","Obszar zabudowany","Brak"
97706386,"Najechanie na pieszego","POMORSKIE","POWIAT GDYNIA","GDYNIA - OBSZAR MIEJSKI","GDYNIA ŚWIĘTOJAŃSKA / TRAUGUTTA","2013-03-16","10","Światło dzienne","Dobre warunki atmosferyczne","Przejście dla pieszych","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Brak","Brak","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
97714936,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDYNIA","GDYNIA - OBSZAR MIEJSKI","GDYNIA PUCKA 139","2013-03-18","15","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Brak","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
97715216,"Zderzenie pojazdów tylne","POMORSKIE","POWIAT CZŁUCHOWSKI","PRZECHLEWO - OBSZAR WIEJSKI","PRZECHLEWO MŁYŃSKA 35","2013-03-12","13","Światło dzienne","Opady śniegu, gradu","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Oblodzona, zaśnieżona","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97723790,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT LĘBORSKI","LĘBORK - OBSZAR MIEJSKI","LĘBORK KOSSAKA 68","2013-03-25","13","Światło dzienne","Oślepiające słońce","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97724623,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSKI","PSZCZÓŁKI - OBSZAR WIEJSKI","PSZCZÓŁKI POMORSKA 4A","2013-03-01","10","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97725226,"Zderzenie pojazdów czołowe","POMORSKIE","POWIAT SOPOT","SOPOT - OBSZAR MIEJSKI","SOPOT AL. NIEPODLEGŁOŚCI 782A","2013-03-26","11","Światło dzienne","Dobre warunki atmosferyczne","Chodnik, droga dla pieszych","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97727338,"Najechanie na pojazd unieruchomiony","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK CHRZANOWSKIEGO 78","2013-03-29","18","Zmrok, świt","Opady śniegu, gradu","Chodnik, droga dla pieszych","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Oblodzona, zaśnieżona","Odcinek prosty","Brak","Nie ma","Brak","Obszar zabudowany","Inne"
97729219,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT SŁUPSK","SŁUPSK - OBSZAR MIEJSKI","SŁUPSK KONARSKIEGO 1","2013-03-30","09","Światło dzienne","Opady śniegu, gradu","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Odcinek prosty","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
97730553,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSKI","PRUSZCZ GDAŃSKI - OBSZAR WIEJS","JAGATOWO","2013-02-24","11","Światło dzienne","Pochmurno","Jezdnia","Jednojezdniowa dwukierunkowa","60 km/h","Twarda","Mokra","Brak","Brak","Jest","Brak","Obszar zabudowany","Brak"
97731733,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK JANA PAWŁA II / STARTOWA","2013-04-02","16","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Brak","Brak","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
97735509,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT NOWODWORSKI","STEGNA - OBSZAR WIEJSKI","TUJSK","2013-04-07","11","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","90 km/h","Twarda","Sucha","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
